"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"162282","2984.231274","163.117.139.71","188.114.96.5","52664","443","TCP","54","533","52664  >  443 [ACK] Seq=1195 Ack=4098 Win=64256 Len=0"
"162283","2984.232957","163.117.139.71","188.114.96.5","52664","443","TCP","54","533","52664  >  443 [FIN, ACK] Seq=1195 Ack=4098 Win=64256 Len=0"
"162284","2984.254288","188.114.96.5","163.117.139.71","443","52664","TCP","60","533","443  >  52664 [FIN, ACK] Seq=4098 Ack=1196 Win=131072 Len=0"
"162285","2984.254399","163.117.139.71","188.114.96.5","52664","443","TCP","54","533","52664  >  443 [ACK] Seq=1196 Ack=4099 Win=64256 Len=0"
"162504","2994.250633","163.117.139.71","188.114.96.5","52673","443","TCP","66","534","52673  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"162505","2994.270487","188.114.96.5","163.117.139.71","443","52673","TCP","66","534","443  >  52673 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"162506","2994.270714","163.117.139.71","188.114.96.5","52673","443","TCP","54","534","52673  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"162507","2994.271395","163.117.139.71","188.114.96.5","52673","443","TLSv1.3","571","534","Client Hello (SNI=api.llama-api.com)"
"162509","2994.291211","188.114.96.5","163.117.139.71","443","52673","TCP","60","534","443  >  52673 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"162510","2994.296784","188.114.96.5","163.117.139.71","443","52673","TLSv1.3","1514","534","Server Hello, Change Cipher Spec"
"162511","2994.296947","188.114.96.5","163.117.139.71","443","52673","TLSv1.3","1438","534","Application Data"
"162512","2994.296990","163.117.139.71","188.114.96.5","52673","443","TCP","54","534","52673  >  443 [ACK] Seq=518 Ack=2845 Win=65280 Len=0"
"162513","2994.302418","163.117.139.71","188.114.96.5","52673","443","TLSv1.3","134","534","Change Cipher Spec, Application Data"
"162514","2994.302805","163.117.139.71","188.114.96.5","52673","443","TLSv1.3","391","534","Application Data"
"162515","2994.302850","163.117.139.71","188.114.96.5","52673","443","TLSv1.3","294","534","Application Data"
"162516","2994.322995","188.114.96.5","163.117.139.71","443","52673","TCP","60","534","443  >  52673 [ACK] Seq=2845 Ack=1175 Win=131072 Len=0"
"162625","2998.035863","188.114.96.5","163.117.139.71","443","52673","TLSv1.3","1514","534","Application Data"
"162626","2998.035863","188.114.96.5","163.117.139.71","443","52673","TLSv1.3","372","534","Application Data"
"162627","2998.035863","188.114.96.5","163.117.139.71","443","52673","TLSv1.3","81","534","Application Data"
"162628","2998.036049","163.117.139.71","188.114.96.5","52673","443","TCP","54","534","52673  >  443 [ACK] Seq=1175 Ack=4650 Win=65280 Len=0"
"162629","2998.037669","163.117.139.71","188.114.96.5","52673","443","TCP","54","534","52673  >  443 [FIN, ACK] Seq=1175 Ack=4650 Win=65280 Len=0"
"162630","2998.058791","188.114.96.5","163.117.139.71","443","52673","TCP","60","534","443  >  52673 [FIN, ACK] Seq=4650 Ack=1176 Win=131072 Len=0"
"162631","2998.058903","163.117.139.71","188.114.96.5","52673","443","TCP","54","534","52673  >  443 [ACK] Seq=1176 Ack=4651 Win=65280 Len=0"
"162709","3008.052971","163.117.139.71","188.114.96.5","52688","443","TCP","66","539","52688  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"162710","3008.072640","188.114.96.5","163.117.139.71","443","52688","TCP","66","539","443  >  52688 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"162712","3008.072770","163.117.139.71","188.114.96.5","52688","443","TCP","54","539","52688  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"162713","3008.073655","163.117.139.71","188.114.96.5","52688","443","TLSv1.3","571","539","Client Hello (SNI=api.llama-api.com)"
"162714","3008.093180","188.114.96.5","163.117.139.71","443","52688","TCP","60","539","443  >  52688 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"162715","3008.096537","188.114.96.5","163.117.139.71","443","52688","TLSv1.3","1514","539","Server Hello, Change Cipher Spec"
"162716","3008.096743","188.114.96.5","163.117.139.71","443","52688","TLSv1.3","1437","539","Application Data"
"162717","3008.096800","163.117.139.71","188.114.96.5","52688","443","TCP","54","539","52688  >  443 [ACK] Seq=518 Ack=2844 Win=65280 Len=0"
"162718","3008.103879","163.117.139.71","188.114.96.5","52688","443","TLSv1.3","134","539","Change Cipher Spec, Application Data"
"162719","3008.104456","163.117.139.71","188.114.96.5","52688","443","TLSv1.3","391","539","Application Data"
"162720","3008.104510","163.117.139.71","188.114.96.5","52688","443","TLSv1.3","492","539","Application Data"
"162721","3008.123862","188.114.96.5","163.117.139.71","443","52688","TCP","60","539","443  >  52688 [ACK] Seq=2844 Ack=1373 Win=131072 Len=0"
"162883","3026.359736","188.114.96.5","163.117.139.71","443","52688","TLSv1.3","860","539","Application Data, Application Data"
"162884","3026.361166","188.114.96.5","163.117.139.71","443","52688","TLSv1.3","511","539","Application Data"
"162885","3026.361166","188.114.96.5","163.117.139.71","443","52688","TLSv1.3","81","539","Application Data"
"162886","3026.361328","163.117.139.71","188.114.96.5","52688","443","TCP","54","539","52688  >  443 [ACK] Seq=1373 Ack=4134 Win=64000 Len=0"
"162887","3026.362152","163.117.139.71","188.114.96.5","52688","443","TCP","54","539","52688  >  443 [FIN, ACK] Seq=1373 Ack=4134 Win=64000 Len=0"
"162889","3026.381808","188.114.96.5","163.117.139.71","443","52688","TCP","60","539","443  >  52688 [FIN, ACK] Seq=4134 Ack=1374 Win=131072 Len=0"
