"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"609133","14295.705382","192.168.1.37","160.79.104.10","51133","443","TLSv1.3","727","5349","Application Data"
"609134","14295.705664","192.168.1.37","160.79.104.10","51133","443","TLSv1.3","572","5349","Application Data"
"609135","14295.711462","160.79.104.10","192.168.1.37","443","51133","TCP","60","5349","443  >  51133 [ACK] Seq=2857 Ack=1271 Win=73728 Len=0"
"609136","14295.753290","160.79.104.10","192.168.1.37","443","51133","TCP","60","5349","443  >  51133 [ACK] Seq=2857 Ack=1789 Win=73728 Len=0"
"609269","14300.828996","160.79.104.10","192.168.1.37","443","51133","TLSv1.3","1506","5349","Application Data"
"609270","14300.828996","160.79.104.10","192.168.1.37","443","51133","TLSv1.3","475","5349","Application Data"
"609271","14300.828996","160.79.104.10","192.168.1.37","443","51133","TLSv1.3","330","5349","Application Data"
"609272","14300.828996","160.79.104.10","192.168.1.37","443","51133","TLSv1.3","81","5349","Application Data"
"609273","14300.829097","192.168.1.37","160.79.104.10","51133","443","TCP","54","5349","51133  >  443 [ACK] Seq=1789 Ack=5033 Win=65280 Len=0"
"609464","14310.849151","192.168.1.37","160.79.104.10","51133","443","TCP","54","5349","51133  >  443 [FIN, ACK] Seq=1789 Ack=5033 Win=65280 Len=0"
"609465","14310.849941","192.168.1.37","160.79.104.10","51140","443","TCP","66","5354","51140  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
