Stream index,Source Port,stream_size
173,3836,510
173,60240,716
174,3836,501
174,60245,696
175,3836,504
175,60262,705
176,3836,705
176,60264,756
178,3836,659
178,60272,770
179,3836,714
179,60282,1336
180,3836,816
180,60293,721
181,3836,529
181,60301,915
182,3836,534
182,60304,1176
184,3836,469
184,60307,855
185,3836,592
185,60309,754
186,3836,1222
186,60316,1033
187,3836,674
187,60321,1030
188,3836,496
188,60331,706
189,3836,525
189,60333,1118
191,3836,725
191,60340,862
192,3836,1252
192,60349,833
193,3836,635
193,60356,866
194,3836,625
194,60361,1050
195,3836,510
195,60377,757
197,3836,518
197,60380,778
198,3836,631
198,60382,797
199,3836,696
199,60384,834
200,3836,1039
200,60389,701
201,3836,598
201,60393,781
203,3836,1046
203,60396,886
204,3836,588
204,60399,1151
205,3836,688
205,60403,827
206,3836,796
206,60410,619
207,3836,583
207,60412,623
208,3836,499
208,60416,635
210,3836,778
210,60422,829
211,3836,757
211,60426,760
212,3836,538
212,60429,843
213,3836,719
213,60444,906
214,3836,1246
214,60446,1093
216,3836,745
216,60451,824
217,3836,1014
217,60458,713
218,3836,1299
218,60461,976
219,3836,581
219,60463,686
220,3836,641
220,60465,708
222,3836,616
222,60468,773
223,3836,506
223,60471,1060
224,3836,478
224,60478,663
225,3836,1488
225,60480,1260
226,3836,576
226,60490,723
228,3836,553
228,60493,716
229,3836,496
229,60495,1166
230,3836,519
230,60497,694
231,3836,849
231,60506,866
232,3836,1088
232,60508,839
233,3836,492
233,60511,626
235,3836,669
235,60514,685
236,3836,1006
236,60522,734
237,3836,666
237,60526,1224
238,3836,498
238,60588,699
239,3836,874
239,60742,662
241,3836,491
241,60855,721
242,3836,651
242,60861,728
243,3836,709
243,60865,972
244,3836,497
244,60868,959
245,3836,518
245,60876,755
246,3836,739
246,60878,834
248,3836,513
248,60881,751
249,3836,507
249,60889,1051
250,3836,689
250,60891,780
251,3836,946
251,60900,906
252,3836,1173
252,60904,899
254,3836,900
254,60907,787
255,3836,509
255,60913,871
256,3836,709
256,60915,676
257,3836,1040
257,60927,1051
258,3836,1087
258,60929,812
260,3836,905
260,60933,730
261,3836,513
261,60935,824
262,3836,527
262,60938,841
263,3836,535
263,60948,757
264,3836,800
264,60952,750
265,3836,508
265,60960,661
267,3836,895
267,60963,719
268,3836,833
268,60965,787
269,3836,622
269,60969,778
270,3836,756
270,60973,824
271,3836,504
271,60975,613
273,3836,585
273,60978,759
274,3836,642
274,60986,839
275,3836,683
275,60989,842
276,3836,469
276,60992,850
277,3836,661
277,60995,990
279,3836,965
279,60998,797
280,3836,818
280,61002,958
281,3836,820
281,61004,769
282,3836,619
282,61006,830
283,3836,633
283,61008,716
284,3836,564
284,61010,755
286,3836,545
286,61013,794
287,3836,651
287,61015,793
288,3836,496
288,61017,827
289,3836,606
289,61021,723
290,3836,589
290,61036,691
292,3836,978
292,61039,971
293,3836,502
293,61041,691
294,3836,598
294,61044,709
295,3836,1110
295,61047,824
296,3836,794
296,61049,805
297,3836,1197
297,61052,903
299,3836,735
299,61055,864
300,3836,878
300,61060,971
301,3836,469
301,61063,935
302,3836,496
302,61068,646
303,3836,1001
303,61071,843
305,3836,1116
305,61074,777
306,3836,502
306,61077,669
307,3836,638
307,61079,749
308,3836,762
308,61082,686
309,3836,637
309,61085,822
311,3836,785
311,61088,745
312,3836,1060
312,61090,727
313,3836,1303
313,61093,706
314,3836,666
314,61095,775
315,3836,1050
315,61097,700
