Stream index,Source Port,stream_size
152,65051,870
154,3836,1309
154,65054,784
155,3836,1513
155,65056,683
156,3836,1072
156,65058,761
157,3836,1471
157,65062,751
159,3836,1002
159,65066,771
160,3836,1277
160,65070,747
161,3836,1771
161,65073,711
162,3836,1252
162,65076,1066
164,3836,1235
164,65080,888
165,3836,1700
165,65082,954
166,3836,1839
166,65085,760
167,3836,1596
167,65089,693
168,3836,1085
168,65091,724
170,3836,1163
170,65097,650
171,3836,1041
171,65104,813
172,3836,1042
172,65106,648
173,3836,992
173,65109,634
175,3836,1301
175,65112,602
176,3836,1076
176,65118,966
177,3836,1109
177,65120,1013
178,3836,1507
178,65122,963
180,3836,1066
180,65125,667
181,3836,1306
181,65127,748
182,3836,1465
182,65131,988
183,3836,865
183,65135,690
184,3836,1210
184,65138,752
186,3836,1796
186,65142,912
187,3836,1357
187,65147,795
188,3836,1524
188,65154,670
189,3836,896
189,65156,661
191,3836,1533
191,65162,806
192,3836,1313
192,65166,1025
193,3836,1251
193,65172,965
194,3836,1598
194,65176,1025
196,3836,1339
196,65179,923
197,3836,1290
197,65182,882
198,3836,1104
198,65186,848
199,3836,1486
199,65190,745
206,3836,708
206,65208,654
208,3836,1942
208,65214,688
209,3836,1420
209,65216,1138
210,3836,1374
210,65220,953
211,3836,1237
211,65222,810
213,3836,1199
213,65226,972
214,3836,1882
214,65228,903
215,3836,1071
215,65230,861
216,3836,868
216,65232,633
224,3836,1803
224,65249,963
225,3836,1740
225,65253,964
226,3836,1313
226,65256,762
227,3836,811
227,65258,624
235,3836,1657
235,65282,957
236,3836,1723
236,65288,944
237,3836,948
237,65300,699
238,3836,1214
238,65309,779
239,3836,1497
239,65311,842
241,3836,1631
241,65317,657
242,3836,1401
242,65321,889
243,3836,1184
243,65323,1146
244,3836,1027
244,65327,747
246,3836,786
246,65331,681
247,3836,1723
247,65335,942
248,3836,1507
248,65337,824
249,3836,867
249,65340,799
251,3836,1056
251,65345,673
252,3836,1435
252,65350,799
253,3836,1269
253,65352,749
254,3836,1023
254,65365,615
255,3836,1069
255,65367,741
257,3836,1052
257,65371,734
258,3836,1191
258,65375,818
259,3836,1756
259,65377,910
260,3836,1138
260,65384,716
262,3836,1560
262,65389,696
263,3836,1260
263,65391,705
264,3836,900
264,65394,756
265,3836,1441
265,65396,770
267,3836,1638
267,65399,1336
268,3836,1644
268,65404,721
269,3836,1114
269,65406,915
270,3836,1721
270,65408,1176
271,3836,1112
271,65413,855
273,3836,1207
273,65417,754
274,3836,1489
274,65421,1033
275,3836,1164
275,65423,1030
282,3836,1097
282,65441,706
284,3836,1540
284,65444,1118
285,3836,1964
285,65446,862
286,3836,1791
286,65448,833
287,3836,1106
287,65454,866
289,3836,1367
289,65459,1050
290,3836,952
290,65465,757
291,3836,1010
291,65467,778
292,3836,1131
292,65469,797
293,3836,1209
293,65471,834
295,3836,1670
295,65476,701
296,3836,1436
296,65480,781
297,3836,1325
297,65484,886
298,3836,1274
298,65486,1151
300,3836,1207
300,65489,827
301,3836,1158
301,65491,619
302,3836,599
302,65494,623
303,3836,1000
303,65496,635
305,3836,1444
305,65501,829
306,3836,913
306,65505,760
307,3836,1652
307,65509,843
308,3836,1372
308,65511,906
310,3836,1474
310,65514,1093
311,3836,1564
311,65517,824
312,3836,1177
312,65521,713
313,3836,2058
313,65524,976
314,3836,1490
314,65526,686
316,3836,1129
316,65529,708
317,3836,1158
317,65533,773
318,3836,1348
318,49156,1060
319,3836,1578
319,49160,663
321,3836,1302
321,49163,1260
322,3836,2685
322,49165,723
323,3836,694
323,49169,716
324,3836,1740
324,49171,1166
326,3836,1399
326,49175,694
327,3836,1258
327,49177,866
328,3836,1204
328,49179,839
329,3836,1048
329,49181,626
331,3836,1016
331,49184,685
332,3836,1354
332,49186,734
333,3836,1692
333,49188,1224
334,3836,981
334,49190,699
335,3836,1197
335,49192,662
337,3836,1037
337,49204,721
338,3836,941
338,49207,728
339,3836,1585
339,49209,972
340,3836,1698
340,49217,959
342,3836,1096
342,49223,755
343,3836,1254
343,49227,834
344,3836,1260
344,49229,751
345,3836,1299
345,49231,1051
347,3836,1081
347,49234,780
348,3836,1730
348,49236,906
349,3836,1294
349,49244,899
350,3836,1794
350,49248,787
351,3836,1163
351,49250,871
353,3836,1355
353,49254,676
354,3836,1778
354,49258,1051
355,3836,1820
