Stream index,Source Port,stream_size
932,443,5465
932,49867,1971
937,443,5523
937,49874,1983
940,443,5652
940,49878,2026
941,443,5611
941,49880,2117
942,443,5703
942,49882,2071
949,443,5671
949,49890,2156
952,443,5762
952,49895,2104
958,443,5663
958,49902,2066
961,443,5689
961,49906,2210
964,443,5577
964,49910,2092
965,443,5638
965,49913,2199
968,443,5783
968,49917,2062
969,443,5599
969,49919,2170
970,443,5736
970,49921,2194
973,443,6224
973,49926,2197
974,443,5613
974,49928,2128
975,443,5604
975,49930,2223
976,443,5542
976,49932,2017
977,443,5843
977,49934,2200
979,443,5760
979,49938,2112
980,443,5431
980,49940,1952
982,443,5611
982,49943,2094
983,443,5748
983,49945,2113
984,443,5599
984,49948,2052
987,443,5785
987,49952,2161
988,443,5897
988,49954,2239
990,443,5610
990,49957,2045
991,443,5570
991,49960,1983
992,443,5837
992,49962,2065
995,443,5681
995,49966,2107
996,443,5702
996,49968,2111
997,443,6050
997,49971,2150
999,443,5602
999,49974,2000
1002,443,5653
1002,49978,2058
1004,443,5562
1004,49981,2228
1008,443,7145
1008,49986,2060
1010,443,5465
1010,49990,1993
1011,443,5702
1011,49992,2064
1012,443,5710
1012,49994,2212
1020,443,5491
1020,50063,2126
1021,443,5833
1021,50066,2227
1022,443,5680
1022,50068,2138
1023,443,5586
1023,50070,2132
1024,443,5657
1024,50072,2042
1026,443,5483
1026,50076,2022
1027,443,5751
1027,50078,2225
1033,443,5810
1033,50085,2235
1035,443,5551
1035,50088,2043
1036,443,5601
1036,50090,2192
1037,443,5569
1037,50093,2080
1042,443,5661
1042,50099,2061
1045,443,5696
1045,50103,2066
1047,443,5640
1047,50106,1974
1051,443,5713
1051,50112,2105
1058,443,5762
1058,50120,2033
1061,443,5677
1061,50124,2404
1062,443,5680
1062,50126,2164
1066,443,5590
1066,50132,2131
1067,443,5581
1067,50134,2123
1070,443,5528
1070,50138,2061
1071,443,5601
1071,50140,2006
1072,443,5687
1072,50142,2112
1074,443,5517
1074,50146,2011
1075,443,5598
1075,50148,2113
1080,443,6001
1080,50154,2131
1081,443,5780
1081,50156,2252
1082,443,5515
1082,50159,2168
1085,443,5567
1085,50163,2045
1088,443,5836
1088,50167,2168
