Stream index,Source Port,stream_size
247,443,5207
247,55844,1810
248,443,5216
248,55846,1930
250,443,5228
250,55850,1843
252,443,5272
252,55853,1752
255,443,5126
255,55857,1753
256,443,5138
256,55859,1861
257,443,5191
257,55862,2009
258,443,5221
258,55864,1977
259,443,5246
259,55866,2085
260,443,5199
260,55868,1933
261,443,5297
261,55870,1902
262,443,5291
262,55873,1892
263,443,5230
263,55875,1813
276,443,5050
276,55888,1748
278,443,5190
278,55891,1762
282,443,5297
282,55896,2096
292,443,5402
292,55911,1957
295,443,5252
295,55915,1852
296,443,5260
296,55917,1974
299,443,5203
299,55921,1924
300,443,5155
300,55924,1899
301,443,5204
301,55926,1727
303,443,5210
303,55929,1965
305,443,5511
305,55932,1956
315,443,5244
315,55945,1824
319,443,5268
319,55950,1784
326,443,5213
326,55957,1975
327,443,5560
327,55959,2022
329,443,5216
329,55963,1773
330,443,5218
330,55965,1841
332,443,5301
332,55968,1942
333,443,5273
333,55970,1743
334,443,5145
334,55973,1917
336,443,5202
336,55976,2086
338,443,5115
338,55979,1819
339,443,4970
339,55982,1765
342,443,6580
342,55986,1964
343,443,5295
343,55988,1866
344,443,5408
344,55990,1853
346,443,5138
346,55993,1759
347,443,5171
347,55996,1845
356,443,5468
356,56012,1815
357,443,5185
357,56014,1711
366,443,5114
366,56030,1805
367,443,5121
367,56033,1806
377,443,5171
377,56050,1851
380,443,5415
380,56054,1930
381,443,5116
381,56056,1790
382,443,5187
382,56059,1778
383,443,5430
383,56061,1779
384,443,5219
384,56063,1818
385,443,5169
385,56065,1822
394,443,5269
394,56081,2241
397,443,5273
397,56086,1801
398,443,5321
398,56088,1989
399,443,5399
399,56090,2106
400,443,5247
400,56093,1883
404,443,5239
404,56098,1836
405,443,5469
405,56100,2015
414,443,5405
414,56116,2020
416,443,5156
416,56119,1782
425,443,5243
425,56136,2082
426,443,5256
426,56138,1894
427,443,5442
427,56140,1869
428,443,5307
428,56142,1896
431,443,5449
431,56147,2022
440,443,5190
440,56157,1815
441,443,5236
441,56159,1828
451,443,5902
451,56170,1842
452,443,5129
452,56173,1876
462,443,5415
462,56190,1775
463,443,5443
463,56192,1823
464,443,5324
464,56194,1912
474,443,5244
474,56212,2096
475,443,5235
475,56214,1871
485,443,5408
485,56231,1715
486,443,5059
486,56233,1719
488,443,5241
488,56237,1731
489,443,5257
489,56239,1869
490,443,5279
490,56241,1822
491,443,5194
491,56243,1877
493,443,5512
493,56247,1920
494,443,5283
494,56249,2057
496,443,5275
496,56252,1862
497,443,5383
497,56254,1783
498,443,5438
498,56257,1976
501,443,5175
501,56262,1768
503,443,5172
503,56265,1780
504,443,5188
504,56267,1835
512,443,5296
512,56283,2044
514,443,5188
514,56286,1745
515,443,5226
515,56288,2182
516,443,5411
516,56290,1793
525,443,6574
525,56307,1802
526,443,5787
526,56309,2114
535,443,5287
535,56325,1772
536,443,5311
536,56327,1894
537,443,5429
537,56330,1873
538,443,5221
538,56332,1726
539,443,5231
539,56334,1765
540,443,5214
540,56336,1794
542,443,5389
542,56339,2224
543,443,5136
543,56342,1779
544,443,5073
544,56344,1748
545,443,5285
545,56346,1863
546,443,5206
546,56348,1800
547,443,5199
547,56351,1982
551,443,5276
551,56356,1967
552,443,5151
552,56358,1817
555,443,5587
555,56362,1872
556,443,5202
556,56365,1813
557,443,5241
557,56367,2028
558,443,5170
558,56369,1828
559,443,5587
559,56371,1920
560,443,5273
560,56373,1913
563,443,5113
563,56378,1841
564,443,5131
564,56380,1903
565,443,5216
565,56382,1762
567,443,5461
567,56385,2023
570,443,5323
570,56390,1858
572,443,5251
572,56393,1864
574,443,5211
574,56396,1868
575,443,6076
575,56398,1877
579,443,5322
579,56404,2384
580,443,5513
580,56406,1876
581,443,6731
581,56408,1815
582,443,5184
582,56410,1791
584,443,5363
584,56414,1843
587,443,5190
587,56418,1838
588,443,5203
588,56420,1866
589,443,5155
589,56422,1721
590,443,5152
590,56424,1825
591,443,5075
591,56427,1871
592,443,5171
592,56429,1878
593,443,5195
593,56431,1880
594,443,5288
594,56433,2036
595,443,5309
595,56436,1851
596,443,5277
596,56438,1966
598,443,5261
598,56441,1819
599,443,5012
599,56443,1876
600,443,5090
600,56445,1790
613,443,5201
613,56460,1821
615,443,5120
615,56463,1844
616,443,5188
616,56465,1843
617,443,5409
617,56467,1861
620,443,5096
620,56472,1787
626,443,5149
626,56479,1767
627,443,5245
627,56481,1965
629,443,5149
629,56484,1773
630,443,5223
630,56486,1785
631,443,5240
631,56489,1858
654,443,6662
654,56512,1863
657,443,5208
657,56516,1917
661,443,5223
661,56521,1900
662,443,5184
662,56523,1963
663,443,5259
663,56526,1946
664,443,5183
664,56528,1738
665,443,5262
665,56530,1877
666,443,5645
666,56532,1829
668,443,5186
668,56536,1755
669,443,5279
669,56538,1821
670,443,5212
670,56540,1832
671,443,5083
671,56542,1860
673,443,5374
673,56546,1875
675,443,5265
675,56549,1795
676,443,5435
676,56551,1782
677,443,6611
677,56553,1893
680,443,5303
680,56557,1780
681,443,5228
681,56560,1811
682,443,6578
682,56562,1761
684,443,5369
684,56565,1748
687,443,5126
687,56569,1844
689,443,5115
689,56573,1765
691,443,5315
691,56576,1973
693,443,5059
693,56579,1913
694,443,5219
694,56581,1934
695,443,5338
695,56584,1891
696,443,5100
696,56586,1760
697,443,5130
697,56588,1861
698,443,5208
698,56590,1824
703,443,6665
703,56596,1789
706,443,5260
706,56601,1948
707,443,5173
707,56603,1934
708,443,5288
708,56605,2010
710,443,6684
710,56608,1911
717,443,5274
717,56617,1799
718,443,5099
718,56619,1765
719,443,4948
719,56621,1720
720,443,5281
720,56623,1821
723,443,5230
723,56628,1796
724,443,5318
724,56630,1848
725,443,5250
725,56632,2018
726,443,4963
726,56634,2079
729,443,6565
729,56639,1728
732,443,5204
732,56643,1728
742,443,5199
742,56660,1771
743,443,5284
743,56662,1874
744,443,5155
744,56664,1870
753,443,5202
753,56681,1901
754,443,5236
754,56684,1849
755,443,5216
755,56686,1811
764,443,5172
764,56702,1955
770,443,5311
770,56714,1837
774,443,5204
774,56722,2010
786,443,5411
786,56743,1807
792,443,5161
792,56754,1915
797,443,5283
797,56761,1939
798,443,5258
798,56763,1930
807,443,5138
807,56781,1873
808,443,5062
808,56784,1968
810,443,5196
810,56787,1762
819,443,6690
819,56804,2011
820,443,5241
820,56806,1857
821,443,5135
821,56808,1697
822,443,5169
822,56810,1839
823,443,5165
823,56813,1858
826,443,5456
826,56818,1797
828,443,5513
828,56821,1906
829,443,5450
829,56823,1984
832,443,5253
