Stream index,Source Port,stream_size
401,60775,1969
402,443,5348
402,60779,1937
403,443,5419
403,60783,1979
404,443,5513
404,60788,1893
409,443,5398
409,60796,1862
412,443,5392
412,60802,1840
413,443,5352
413,60806,1773
414,443,5187
414,60810,1708
415,443,5440
415,60814,1722
419,443,5588
419,60821,2056
423,443,5469
423,60828,1917
424,443,5181
424,60832,1812
425,443,5475
425,60836,1934
429,443,6033
429,60843,1884
433,443,5381
433,60850,1859
434,443,5175
434,60854,1687
435,443,5420
435,60858,1925
436,443,5583
436,60862,1916
438,443,5384
438,60867,1784
439,443,5185
439,60871,1678
443,443,5424
443,60879,1935
446,443,5450
446,60885,1916
453,443,5279
453,60895,1733
456,443,5291
456,60901,1801
460,443,5496
460,60908,1836
463,443,5569
463,60914,1703
464,443,5341
464,60918,1877
467,443,5690
467,60924,2046
468,443,5249
468,60928,1779
469,443,5201
469,60932,1725
470,443,5524
470,60936,1912
473,443,5447
473,60942,1826
474,443,5449
474,60946,1813
475,443,5187
475,60950,1719
476,443,5339
476,60954,1805
480,443,5333
480,60961,1829
481,443,5235
481,60965,1671
484,443,5366
484,60971,1765
485,443,5390
485,60975,1766
486,443,5489
486,60979,1811
487,443,5405
487,60984,1890
491,443,5353
491,60991,1750
492,443,5243
492,60995,1738
493,443,5615
493,60999,1739
494,443,5115
494,61003,1778
495,443,5407
495,61007,1782
497,443,5403
497,61012,2201
498,443,5218
498,61016,1761
499,443,5264
499,61020,1883
500,443,5371
500,61024,2066
503,443,5413
503,61030,1843
504,443,5335
504,61034,1784
508,443,5508
508,61041,1975
509,443,5533
509,61045,1980
510,443,5402
510,61049,1742
511,443,5997
511,61053,2042
512,443,5448
512,61058,1854
523,443,5591
523,61072,1883
534,443,5343
534,61086,1856
553,443,5460
553,61108,1982
590,443,5340
590,61148,1829
607,443,5121
607,61168,1788
614,443,5192
614,61178,1802
615,443,5422
615,61182,1836
618,443,5870
618,61188,1735
624,443,5325
624,61197,1783
625,443,5380
625,61201,1872
626,443,5427
626,61205,2056
629,443,5420
629,61211,1831
